Ship,Cruise,DateUTC,TimeUTC,Station,Cast,LongDeg,LongMin,LongHem,LatDeg,LatMin,LatHem,Longitude,Latitude,WaterDepthM,SampleDepthM,Bottom_OxMgL
OREGON II,271,6/14/2006,06:48 PM,1,0,88,0.1620,W,29,59.9820,N,-88.002700,29.999700,0,25.7,5.16780
OREGON II,271,6/14/2006,09:40 PM,2,0,88,28.9080,W,29,59.8620,N,-88.481800,29.997700,0,27.9,3.39770
OREGON II,271,6/15/2006,02:25 AM,3,0,88,50.4780,W,30,7.5420,N,-88.841300,30.125700,0,12.9,1.51729
OREGON II,271,6/15/2006,04:13 AM,4,0,88,54.6300,W,30,6.3780,N,-88.910500,30.106300,0,12.5,2.72457
OREGON II,271,6/15/2006,05:29 AM,5,0,88,45.8280,W,30,3.3600,N,-88.763800,30.056000,0,12.8,2.45626
OREGON II,271,6/15/2006,09:31 AM,6,0,88,23.5620,W,29,56.0880,N,-88.392700,29.934800,0,30.3,3.83625
OREGON II,271,6/15/2006,11:14 AM,7,0,88,18.3480,W,29,47.8500,N,-88.305800,29.797500,0,36.2,4.12406
OREGON II,271,6/15/2006,01:29 PM,8,0,88,30.1080,W,29,29.8380,N,-88.501800,29.497300,0,49.7,4.54679
OREGON II,271,6/15/2006,04:36 PM,9,0,88,0.1680,W,29,29.7300,N,-88.002800,29.495500,0,45.2,5.63860
OREGON II,271,6/15/2006,05:59 PM,10,0,88,9.4320,W,29,29.6220,N,-88.157200,29.493700,0,45.8,5.65345
OREGON II,271,6/15/2006,09:53 PM,12,0,88,3.4200,W,29,21.8880,N,-88.057000,29.364800,0,87.8,5.82337
OREGON II,271,6/15/2006,10:55 PM,13,0,88,0.1620,W,29,15.0180,N,-88.002700,29.250300,0,245.0,3.97388
OREGON II,271,6/16/2006,12:39 AM,14,0,88,2.7180,W,29,26.4780,N,-88.045300,29.441300,0,53.7,6.37276
OREGON II,271,6/16/2006,04:29 AM,15,0,88,29.5200,W,29,14.5800,N,-88.492000,29.243000,0,95.7,4.90401
OREGON II,271,6/16/2006,09:41 AM,16,0,88,56.9100,W,29,15.5220,N,-88.948500,29.258700,0,28.3,4.98949
OREGON II,271,6/16/2006,11:23 AM,17,0,88,43.5720,W,29,16.0620,N,-88.726200,29.267700,0,63.9,4.36920
OREGON II,271,6/16/2006,03:56 PM,19,0,88,37.3980,W,29,9.8400,N,-88.623300,29.164000,0,83.4,4.72408
